target_name	program_name	log2FC	p-value	adj_pval
Acacb_2	8	-0.009299590990033222	0.36494395457306755	0.6043163536606249
Acly	8	-0.015942361252744938	0.16210392449226305	0.44491001630898475
Acsl3	8	0.02337133895539962	0.2646428582998544	0.5409343755989909
Acsl5_1	8	0.01818522371640015	0.6157906970635029	0.7109321466555926
Acsl5_2	8	0.0011786184133288483	0.7233836625009575	0.7429846025952123
Acvr2a	8	-0.002523167776700954	0.5599534333015083	0.6910409843062677
Adh1	8	0.014183766237787212	0.6283966307492818	0.7146317602544786
Adh4	8	-0.024602687765580656	0.1359642877218641	0.412505618901713
Adh5	8	0.029223497659180454	0.18573456047372422	0.46829965372196686
Adh6-ps1	8	0.005153760778286032	0.9871765765409295	0.7947129127554381
Agtr1a	8	0.038318233932767815	0.1046268494854668	0.3681871876101485
Akt2_1	8	-0.027881875461699117	0.012741413199998518	0.11873070227796195
Akt2_2	8	-0.009352780655047181	0.27212655806019825	0.546695256572955
Alkbh5	8	0.018769679210926503	0.45057672288979883	0.6474540391893031
Angptl3	8	0.007205426445863521	0.9762200921153433	0.7928158359279341
Ap2a2	8	-0.0015892837563627484	0.5430333143048902	0.6850237428731608
Apeh	8	0.01920621218587816	0.49540410800767165	0.6680466804284905
Apoa1	8	0.03376770007330452	0.1372669837814656	0.41517502712488985
Apoa5_1	8	-0.03416123812355591	0.03226891256442149	0.20356289010533538
Apoa5_2	8	0.015146242835444792	0.6364532565097546	0.7179984701219779
Apob	8	0.053505699245893566	0.008336790630671446	0.08880300472394209
Apoc1	8	0.02297000577511824	0.5017094177860504	0.6701788689981719
Apoc2	8	-0.00022587054219798977	0.7951120850881446	0.7579077288226347
Apoc3	8	-0.000885604219958584	0.6819540612548074	0.730595324154418
Apoc4	8	0.007008558662477716	0.9781738218004751	0.7930515241129295
Apoe	8	0.02115768847564415	0.45875858764999855	0.6515994240735081
Apoh	8	0.007034319918149005	0.9422790387351606	0.7869730030841522
Ar_1	8	-0.006921735271537251	0.3739857856446906	0.6081745403769308
Ar_2	8	0.01967414992488217	0.47922504897341706	0.660821227468753
Arhgef18	8	0.005439017775534564	0.8658775131250436	0.7736785561616256
Arrdc2	8	0.04237042561748995	0.04253804293112606	0.2353729482025945
Asl	8	0.01365421576747661	0.6753270301822392	0.7291266177422916
Atf3	8	0.009472496597243434	0.8783551137042585	0.7755697280214047
Atf4	8	-0.01048570860742806	0.3353362200123837	0.5897129077362224
Atf6	8	0.02495811233056085	0.29322314403867455	0.562580096185523
Atg5	8	0.0037421232186809093	0.8283072347846496	0.7654874115479368
Atg7	8	0.005946501100568076	0.9459573220422073	0.7875223001666706
Atp2a2	8	0.012450691239138731	0.6959638768172931	0.7355492142971573
Atpaf2	8	0.013401172771313169	0.7387552701711313	0.7467640814224602
Axin2	8	0.0017919969477083342	0.777512198073072	0.7541696115434927
BC005624	8	0.010466715908067064	0.9043617726244884	0.7797854208881262
Babam2	8	0.0086931390848544	0.9273329349914271	0.7847191780673861
Bcl2l1_1	8	0.008510907856657486	0.9449751737927704	0.7875223001666706
Bcl2l1_2	8	0.02565536589331375	0.25041771542095453	0.5296383041329906
Bcl3	8	-0.014395931874382914	0.07258512877438608	0.30906089160016287
Bloc1s2	8	0.008639238253561674	0.9270869813169962	0.7847191780673861
C130074G19Rik	8	-0.017265098390935808	0.17428612146133882	0.45700472921114405
Cat	8	0.011407342673973303	0.8365433643731428	0.7664804773683108
Cblc	8	0.007522347773676197	0.9881599368630825	0.794945088134219
Cd47	8	-0.008905126849361981	0.21561550902781074	0.49556075360355417
Cebpz	8	0.008551531072929313	0.9472185152995328	0.7875223001666706
Chid1	8	0.010186868321842985	0.9026832865363379	0.7791876289058948
Chp1	8	-0.012689932842422947	0.2490603857394474	0.5285487543260721
Chuk	8	0.01864401973808313	0.43679450381106916	0.6402662809144393
Cideb	8	-0.00020871689492373946	0.7811096593317968	0.7548841268978699
Clasrp	8	0.00518528981042987	0.9113238621897579	0.781483467110371
Clptm1	8	0.006925024713850325	0.9863715756417225	0.7945771407359595
Cnot3	8	-0.014834504739536793	0.21842320318868697	0.4998260040223312
Cobll1	8	0.0031248645636332787	0.7090989851761522	0.7395575766847173
Cpn1_1	8	-0.03705608164443758	0.02992215599997563	0.19388911392726224
Cpn1_2	8	0.03719789243998555	0.06778950648223486	0.2992126743271453
Crcp	8	-0.008126295231042632	0.3131393756530142	0.5742337349433216
Cwf19l1	8	0.007191637385178974	0.9902236547403889	0.7957573813289127
Cyp2e1	8	-0.006008642963083337	0.34919878193584036	0.5976268386919603
Cyp3a41b	8	-0.011150227501904406	0.33007647647981897	0.5859103455254202
Cyp7a1	8	0.05337985996034905	0.021205790942989022	0.15904849595229173
Ddx49	8	-0.0003500072656034665	0.6725521400976006	0.728894998039155
Deaf1	8	-0.0025899689340796485	0.4951640030813198	0.6680466804284905
Dgat1	8	0.013730595558048652	0.6737471198299023	0.728894998039155
Dgat2	8	0.11556132203240248	6.233219558041021e-13	5.799876191706591e-11
Dmac1	8	0.01358806356024095	0.7149402736654638	0.7411498486025345
Dnajc22	8	0.010196990787569788	0.8570872385432753	0.7715601345137274
Dnmbp_1	8	0.025783275010972204	0.10344491781102098	0.3660638604076994
Dnmbp_2	8	0.00806897102905535	0.9675463316365891	0.7908947060501927
Dock7	8	-0.009316699565956292	0.185148740781518	0.46765532721010944
Drg2	8	0.003536239004835671	0.7766255688644604	0.7539930035749528
Eif2ak3	8	-0.03243187428033255	0.0038633518436917823	0.05200937262801901
Eif4e_1	8	0.016233169748220304	0.5841464825502818	0.7009373551459548
Eif4e_2	8	-0.00034537447367905645	0.6258684422536256	0.714100285779214
Emc1	8	0.011795150542584593	0.723153416644335	0.7429846025952123
Emc2	8	0.028236493746124428	0.3035864825433539	0.5677307913919092
Emc3	8	0.010009651286973198	0.840025637001179	0.7672483813764027
Enpp2_1	8	0.0018258698928799277	0.7700701418778506	0.7524187790218185
Enpp2_2	8	0.004424879196518902	0.8817719224452107	0.7757516785887383
Eps8l2	8	-0.013195698323664917	0.23350674001913801	0.5146136249644369
Erlin1	8	0.003446998461980129	0.8340120835253318	0.7664804773683108
Ern1	8	0.012261206636018639	0.7646607426323451	0.7517405368238125
Esr1_1	8	0.005853810995908102	0.9491680043532678	0.7877181656072961
Esr1_2	8	0.01856963647891917	0.5855020561687596	0.7016325248364802
Fads1	8	0.05005996967646361	0.008542769231403069	0.0898308507593505
Fads2	8	-0.021353038248867726	0.02617677036913948	0.1795843324988466
Faf2	8	-0.01675106818029599	0.08791464224889914	0.33945759687082794
Fars2	8	-0.027730230334735106	0.019881500831913743	0.15263572268223097
Fasn	8	-0.01996294369190024	0.11613517599027491	0.38361610988743994
Fdft1_1	8	-0.008383103477152853	0.32265451280576746	0.581375061308987
Fdft1_2	8	-0.000576414200510984	0.6167270194358723	0.7110843617672449
Fgf1_1	8	0.003041345335347575	0.7662452292206745	0.752050641980117
Fgf1_2	8	0.0383562142644974	0.045177294851937694	0.24288273758773643
Fgfr2	8	-0.0062238037530067125	0.289676644346963	0.5603506078375445
Fgfr4	8	0.006118897473067691	0.9219713470729094	0.7840667276381891
Fign	8	-0.007459791593313075	0.4860448854246809	0.6647322772965268
Flcn	8	0.11269983812040123	9.648002463582394e-19	1.341656132096815e-16
Flii	8	0.010351502356449301	0.9022636664077917	0.7791876289058948
Fmo3	8	0.02563828424747263	0.27663327050310216	0.550729482417805
Fnbp1	8	0.0007136404286338869	0.6585177360252588	0.7255532320275875
Fndc4_1	8	-0.010059810519295559	0.17243882185669898	0.45546402811021036
Fndc4_2	8	-0.0028774609246962077	0.4830474295363695	0.6629759350029801
Foxo1	8	0.015581045644915217	0.6333431503463063	0.7165978740017593
Foxo3	8	-0.03058100098655962	0.013605515288290897	0.12262897366043667
Fto	8	0.026357454102030657	0.18939551924551878	0.4709579728537367
G6pc	8	0.009351041450123925	0.8760484273085558	0.7754209205126098
Gatad2a_1	8	0.027283876496915806	0.32239115589382117	0.581375061308987
Gatad2a_2	8	8.514260525724072e-05	0.5675025860929986	0.6930953202270325
Gckr	8	0.018118140086312948	0.3014013741899012	0.5670264854052433
Gdf15_1	8	0.0023841855160626024	0.7961855085681695	0.7579998901100552
Gdf15_2	8	0.016500240538272582	0.612469957049116	0.7098182007544233
Gid4	8	0.001110160527358966	0.5931857183695683	0.7040398062324708
Gpam_1	8	0.01342512329430135	0.7043993546335019	0.7383273482584748
Gpam_2	8	-0.02125887434686196	0.27472546821933197	0.5491257574073057
Gpd1	8	-0.0023227119119685747	0.5413234265617195	0.6845359799470803
Gpr107	8	0.03546321159808443	0.11213966218727009	0.37844852789576283
Gpx1_1	8	-0.00011301356312465717	0.7127195681945382	0.7404051128373258
Gpx1_2	8	-0.0015187445156389203	0.5558057467555845	0.6890299989631544
Grb14	8	-0.02049398170617073	0.026958725577819222	0.1822379075002652
Grb2_1	8	0.03287725525392879	0.09445478540434576	0.35311039219531204
Grb2_2	8	0.021893082985457554	0.40985053399255583	0.6278242545869812
Gsta2_1	8	0.006410671519255226	0.9902163082379916	0.7957573813289127
