Name,Score,program_id,UniquenessScore
Ifrd1,0.0008160974376095,2,0.0016207005375313119
Nxf1,0.0008137298304725,2,0.0023054702141512896
Rbm15,0.0008132609729935,2,0.0020701812387304043
Nfe2l2,0.0008118287343489,2,0.0014081989793959925
Zfp276,0.0008117470479539,2,0.0020663274951992373
Slc22a30,0.00081133980541,2,0.0015029129479726161
Metap1d,0.0008084624898293,2,0.0013171798632811748
Plpp3,0.0008035756750578,2,0.0013092180665452942
Pltp,0.0008035441852515,2,0.0009833576321335957
Acaca,0.0008028898906278,2,0.0013926936516434232
Sqle,0.0007978844554057,2,0.0012999457007675833
Exoc4,0.000797474665757,2,0.0014772293838592888
Ccnl1,0.0007958998259423,2,0.0013805686780627238
Uckl1,0.0007956731884206,2,0.0025769296103027263
Tcf25,0.0007953285062624,2,0.0025758132956241186
Dido1,0.0007950571178381,2,0.0017014748359321851
Rnf103,0.0007913766140949,2,0.0018378833306988522
Naa80,0.0007903720228262,2,0.001691448422624453
Mdm2,0.0007883534058934,2,0.0020067782477775136
Srsf2,0.0007849560094814,2,0.0016798577957242021
Zbed4,0.0007846082508725,2,0.0019972448385548063
Clk1,0.0007840947318727,2,0.001202746714277536
Tmem25,0.0007830568577056,2,0.0018185616306245357
Cnot10,0.0007812877407549,2,0.0025303397709230853
Tlcd1,0.0007808272902874,2,0.0013544238418083593
Dhx16,0.0007766907645895,2,0.002515451643271091
Elovl6,0.0007758152462271,2,0.0015407035099488855
Prpf4b,0.0007743788196756,2,0.0014344470060088912
Srsf11,0.0007714102141883,2,0.001428948008431629
Nlrp6,0.0007712303316825,2,0.001650483937095724
Gnb1,0.0007669744845857,2,0.002483983736587588
Tsku,0.0007650100789898,2,0.0011734721858118074
Zscan26,0.0007640163336556,2,0.0015172718667826864
Zfp454,0.0007639442872708,2,0.0024741699018380153
Mef2d,0.0007606111030516,2,0.002463374789930198
Tgfbr3l,0.0007604333566048,2,0.0019357068892086452
Fam193b,0.0007600010893589,2,0.001238224585022695
Ren1,0.0007570309392092,2,0.0021448301588309158
Mapt,0.0007558985039722,2,0.0024481121968380555
Xrcc3,0.0007526730924784,2,0.0024376661261337217
Slc66a2,0.0007519027999771,2,0.0013928127846893873
Shb,0.0007509246213794,2,0.0016070283735503024
Bcl2l2,0.0007505649948139,2,0.002430838675652648
Crebzf,0.0007498769826561,2,0.0019088353092074789
Ftcd,0.000749455390329,2,0.0012210431046433877
Ces3a,0.0007444908745086,2,0.0010176269135154516
Plekhm1,0.0007436461326537,2,0.0024084307058609127
Mprip,0.0007422601656652,2,0.0015884858650512309
Ift46,0.0007418077439838,2,0.002402476756089004
Lgals4,0.0007414498485336,2,0.0013734499037309873
Clk4,0.0007408970235201,2,0.0009578081878746381
Gadd45a,0.0007400753366047,2,0.0018838849126704422
Hemk1,0.0007390230938076,2,0.00239345816956653
Rbm14,0.0007382122009292,2,0.0014660270400586783
Adra1b,0.0007381095943811,2,0.001465823272126081
Pdia5,0.0007375813447426,2,0.0018775363783943397
Immp2l,0.000735119149755,2,0.0011976859203129007
Naaladl2,0.0007345873456446,2,0.0017059966310056104
Sema4g,0.000731987948496,2,0.0009462908180734611
Ppp1r3b,0.0007265974343529,2,0.0015549665837418442
Atxn2l,0.000724512174767,2,0.0023464619687486366
Tmem150a,0.0007238434963026,2,0.0020508030527328328
Itm2b,0.0007203397554778,2,0.0011049510203890362
Slc38a9,0.0007195783945881,2,0.0023304830411955174
Shld2,0.0007188049788521,2,0.0023279781963167693
Thsd7a,0.0007177760866736,2,0.0020336127868080946
Tmem184c,0.000717640824939,2,0.0023242078761234095
Slc25a51,0.0007172463154312,2,0.0013286156640650328
Ppox,0.0007167994285677,2,0.002321482863825951
Ddx5,0.0007163680346018,2,0.0012426127488665859
Gdf15,0.0007143571347381,2,0.0014186528947458237
Mapre3,0.0007133778912521,2,0.002021151760850134
Il15ra,0.0007133710323669,2,0.0011622530058013952
Fubp1,0.0007131016906036,2,0.0014161596888002388
