Name,Score,RowID
Rbm15,0.0008132609729935,2
Nfe2l2,0.0008118287343489,2
Zfp276,0.0008117470479539,2
Slc22a30,0.00081133980541,2
Metap1d,0.0008084624898293,2
Plpp3,0.0008035756750578,2
Pltp,0.0008035441852515,2
Acaca,0.0008028898906278,2
Sqle,0.0007978844554057,2
Exoc4,0.000797474665757,2
Ccnl1,0.0007958998259423,2
Uckl1,0.0007956731884206,2
Tcf25,0.0007953285062624,2
Dido1,0.0007950571178381,2
Rnf103,0.0007913766140949,2
Naa80,0.0007903720228262,2
Mdm2,0.0007883534058934,2
Srsf2,0.0007849560094814,2
Zbed4,0.0007846082508725,2
Clk1,0.0007840947318727,2
Tmem25,0.0007830568577056,2
Cnot10,0.0007812877407549,2
Tlcd1,0.0007808272902874,2
Dhx16,0.0007766907645895,2
Elovl6,0.0007758152462271,2
Prpf4b,0.0007743788196756,2
Srsf11,0.0007714102141883,2
Nlrp6,0.0007712303316825,2
Gnb1,0.0007669744845857,2
Tsku,0.0007650100789898,2
Zscan26,0.0007640163336556,2
Zfp454,0.0007639442872708,2
Mef2d,0.0007606111030516,2
Tgfbr3l,0.0007604333566048,2
Fam193b,0.0007600010893589,2
Ren1,0.0007570309392092,2
Mapt,0.0007558985039722,2
Xrcc3,0.0007526730924784,2
Slc66a2,0.0007519027999771,2
Shb,0.0007509246213794,2
Bcl2l2,0.0007505649948139,2
Crebzf,0.0007498769826561,2
Ftcd,0.000749455390329,2
Ces3a,0.0007444908745086,2
Plekhm1,0.0007436461326537,2
Mprip,0.0007422601656652,2
Ift46,0.0007418077439838,2
Lgals4,0.0007414498485336,2
Clk4,0.0007408970235201,2
Gadd45a,0.0007400753366047,2
Hemk1,0.0007390230938076,2
Rbm14,0.0007382122009292,2
Adra1b,0.0007381095943811,2
Pdia5,0.0007375813447426,2
Immp2l,0.000735119149755,2
Naaladl2,0.0007345873456446,2
Sema4g,0.000731987948496,2
Ppp1r3b,0.0007265974343529,2
Atxn2l,0.000724512174767,2
Tmem150a,0.0007238434963026,2
Itm2b,0.0007203397554778,2
Slc38a9,0.0007195783945881,2
Shld2,0.0007188049788521,2
Thsd7a,0.0007177760866736,2
Tmem184c,0.000717640824939,2
Slc25a51,0.0007172463154312,2
Ppox,0.0007167994285677,2
Ddx5,0.0007163680346018,2
Gdf15,0.0007143571347381,2
Mapre3,0.0007133778912521,2
Il15ra,0.0007133710323669,2
Fubp1,0.0007131016906036,2
Zfp445,0.0007128487291322,2
Rdh7,0.0007125472456393,2
Rorc,0.0007122363531928,2
Srsf7,0.0007110762012056,2
Hs6st1,0.0007090845418626,2
Trp53inp1,0.0007075397811152,2
Zkscan3,0.0007043287517926,2
Gramd1c,0.0007041261610566,2
Onecut2,0.0007040365771071,2
Nlrc5,0.0007029629062716,2
Acsm5,0.0007005328121326,2
Paqr9,0.000700418052942,2
Saa1,0.0006971127068418,2
Rabgap1l,0.0006962131922871,2
Usp40,0.0006942671727592,2
Hnrnpu,0.0006927618586398,2
Chkb,0.0006911137079038,2
Tctn1,0.0006904946115613,2
Maff,0.0006898881257025,2
Cyp4a32,0.0006888568417764,2
Nfat5,0.0006884733215122,2
H6pd,0.0006881323311138,2
Scd1,0.0006877123672325,2
Rabep1,0.0006875350287117,2
Prpf39,0.000686491361183,2
Fam120b,0.0006859762729329,2
Mst1,0.0006858954917735,2
Tcam1,0.0006856604926495,2
Pprc1,0.0006853123678915,2
Slc25a42,0.0006852823476755,2
Albfm1,0.000684668692284,2
Ppfibp2,0.0006838970266073,2
Pex11a,0.0006832127007341,2
Utp14b,0.0006821165341067,2
Islr,0.0006816986375004,2
Bclaf1,0.0006810935252174,2
Nt5m,0.0006808599234672,2
Mrtfb,0.0006807227484068,2
Yars,0.0006807008738907,2
Aldh3b3,0.0006805452351626,2
Tardbp,0.000679058445886,2
Cep85l,0.0006777560138259,2
Cep85,0.0006776230398617,2
Slc17a2,0.0006759429860657,2
Ikbkg,0.0006753041794252,2
Hnrnph3,0.0006749550620697,2
Tlr5,0.0006748110151198,2
Agmo,0.0006726433280315,2
Golgb1,0.0006718016632729,2
Hgfac,0.0006699074268424,2
Lrrc28,0.0006695737911764,2
Areg,0.0006694244621591,2
Chd3,0.0006691827102448,2
Prpf38b,0.0006683929116381,2
Phf11c,0.000666318407021,2
Rgs16,0.0006658441330181,2
Sec24a,0.0006652003313652,2
Luc7l,0.0006634602902739,2
Rtp3,0.0006633589058355,2
Safb2,0.0006622310909337,2
Slc19a2,0.000661167129844,2
Fads6,0.0006595767865045,2
Lnpep,0.0006578380777555,2
Nr3c2,0.0006575045969798,2
Kansl2,0.0006559084911958,2
Synj2,0.0006554828779016,2
Hmgb1,0.0006545227543622,2
Slc3a2,0.000653184584421,2
G6pc,0.0006520503811238,2
Zbtb16,0.0006515559036352,2
Ncor1,0.0006512075568066,2
Cep63,0.000650950139389,2
Aspdh,0.000650554682972,2
Josd2,0.0006503982407523,2
Plin4,0.0006501769319336,2
Nr6a1,0.0006494867020305,2
Rbm25,0.0006494564392686,2
Cyth1,0.00064864061194,2
Zfp365,0.0006457266845207,2
Tcirg1,0.0006446940307925,2
Eid3,0.0006446310727658,2
Aspg,0.0006433859754077,2
Igsf5,0.0006422452925921,2
Ern1,0.0006419693636501,2
Senp6,0.000641580741907,2
Zfand4,0.0006412381619817,2
Bicdl2,0.0006405415242548,2
Nsd1,0.0006394555227157,2
Optn,0.0006386238548772,2
Inca1,0.0006379469083459,2
Tapt1,0.0006378163453076,2
