target_name	program_name	log2FC	p-value	adj_pval
Fndc4_2	1	-0.04272783012248009	0.620901566762908	0.835996852820947
Foxo1	1	-0.3527563326007508	0.12864111651268864	0.5537232614758991
Foxo3	1	-0.011967512942071525	0.3985190208750162	0.7599766638520585
Fto	1	0.0063166715336412365	0.44046563329487287	0.7772373670945303
G6pc	1	-0.40102119996450847	0.02134242467451744	0.26436942300964655
Gatad2a_1	1	-0.3318313379836068	0.2812282155865894	0.6978079623517138
Gatad2a_2	1	-0.23703138531674142	0.612135701783316	0.8344743835959476
Gckr	1	-0.5318009881049472	1.122885876441546e-05	0.0006968851981805394
Gdf15_1	1	-0.4549707445706779	0.08630834395297673	0.48242260122227976
Gdf15_2	1	0.02965947377425383	0.3813871485957618	0.7514546014413208
Gid4	1	-0.030773856774273748	0.3479581415774621	0.7326697396900655
Gpam_1	1	-0.08502280856562472	0.7886148410430495	0.8778536789863602
Gpam_2	1	-0.1950481154424084	0.6261672219376171	0.8376252064744171
Gpd1	1	-0.04894809190841029	0.6252460459116563	0.8374138669313608
Gpr107	1	-0.24596759019350356	0.35026177336395126	0.7331147574726451
Gpx1_1	1	-0.17782034490452164	0.618282802860411	0.8354902698378768
Gpx1_2	1	-0.2039647853687063	0.5236897386499261	0.8090717837488159
Grb14	1	-0.2523222291034664	0.1342936352695936	0.5591838241658641
Grb2_1	1	-0.07895790261902307	0.8922403027433086	0.8997057752488398
Grb2_2	1	-0.30422914006314183	0.19620370930497094	0.6323467181623189
Gsta2_1	1	-0.14232693465721358	0.8805444673997229	0.8972914968630084
Gsta2_2	1	-0.17567716522540489	0.8321714458704423	0.8878351758842136
Gusb	1	-0.38582234075470984	0.07061052708874105	0.44548990039941605
Hamp	1	-0.09895075297883714	0.8054831836707854	0.8821638979500396
Hfe	1	0.28288902741226274	0.0008324266587893506	0.029059900828234432
Hmgcr	1	-0.12368316331458731	0.9987000490308454	0.9178450261439103
Hsd17b13	1	-0.3765158371680059	0.13450751013298531	0.5591838241658641
